record_id,date,time_cst,context,tags,summary_ja,summary_zh,evidence_note
"R012","2026-06-23","00:47","Zayne context","#恋与深空黎深[超话]#","黎深側で長く続く固有の維権要求について、運営から回答がないことを改めて問題化。","再次追问黎深长期角色维权诉求为何仍未得到官方回应。","individual paraphrase"
"R013","2026-06-23","07:26","Valko supportive","#恋与深空敖尹[超话]#","敖尹への好意を示す通常のキャラクター愛投稿。","普通的敖尹角色喜爱帖。","individual paraphrase"
"R014","2026-06-23","11:23","anti-company wording","恨与浅地（用語）","『恨与浅地』を運営・ゲームへの蔑称として使用。用語使用だけでは同名コミュニティ所属とはしない。","把恨与浅地作为对运营/游戏的贬称使用；仅凭用词不视为加入同名社群的证据。","membership not inferred"
"R015","2026-06-23","12:47","Rafayel context","#祁煜 恋与深空救世主#","過去の運営危機と祁煜の売上・集客を結びつけ、自推の貢献を再主張。","把过去的运营危机与祁煜的流水/拉新联系起来，重新强调自推贡献。","individual paraphrase"
"R016","2026-06-25","08:47","Xavier context","#沈星回 敖尹#","沈星回のモデル品質を優位とし、敖尹を下げるよう求める強い排除的投稿。","以沈星回建模质量为优位，强烈要求撤下敖尹。","individual paraphrase"
"R017","2026-06-25","08:54","anti-company wording","#恋与深空一意孤行只会自损口碑#","運営批判の文脈で『恨与浅地』という語を使用。直接の超話参加とは区別。","在批评运营的语境中使用恨与浅地一词；与直接参与该超话区分。","membership not inferred"
"R018","2026-06-25","09:50","multiple existing-LI supporter","停氪 | 退谷 | 停登","課金停止等には参加しつつ、第6男主追加自体は否定せず、まず既存主線・福利・制度を整備してからなら受け入れるという条件付き容認。","参与停氪/退谷/停登，但不否定新增男主本身；认为应先完善既有主线、福利与机制。","individual paraphrase"
"R019","2026-06-25","10:24","Valko supportive","#恋与深空敖尹[超话]#","敖尹への偏見や攻撃が強いほど自分は支持を強める、という反発的な愛着表明。","面对针对敖尹的偏见与攻击，表达会更加偏爱和支持他。","individual paraphrase"
"R020","2026-06-25","12:13","Zayne context","黎深設定 | OOC","黎深固有と認識する色・髪・神格設定などを他キャラへ流用しないよう要求。原投稿は削除済みだが履歴に残存。","要求不要把被认为属于黎深的代表色、发色、神格设定等挪用给其他角色；原帖已删但历史中留有痕迹。","deleted original / profile trace"
"R021","2026-06-25","13:10","Xavier context","停氪","短期ではなく夏全体の売上低下を狙う長期・全面停氪を呼びかけ、自推カードでも課金しない戦術を主張。","主张长期全面停氪，目标是整个暑期流水下降，甚至自推卡也不付费。","individual paraphrase"
"R022","2026-06-27","16:25","Sylus context","秦彻 | 空降","秦彻は実装前から公式の伏線があったとして、後発男主=空降という敖尹との単純比較を拒否。","强调秦彻上线前已有官方铺垫，拒绝把后加入男主简单等同于空降并与敖尹类比。","individual paraphrase"
"R023","2026-06-28","13:24","Valko supportive","#恋与深空[超话]# | #恋与深空敖尹[超话]#","敖尹や支持者を攻撃するのではなく、問題があるなら公式へ向けるべきだと主張。","认为若对运营有不满，应指向官方而不是攻击敖尹或喜欢他的玩家。","individual paraphrase"
"R024","2026-06-28","20:11","Valko supportive","#恋与深空敖尹[超话]#","公式回答後も敖尹専用超話で通常の好意的キャラ愛投稿が継続。","官方回应后，敖尹超话中仍继续出现普通的正面角色喜爱帖。","individual paraphrase"
"R025","2026-06-28","20:15","Sylus context","秦彻 | OOC | 围裙","秦彻の既存設定と共通衣装案が衝突するとして、全員共通のエプロン案を外しキャラ別案にするよう要求。","认为统一围裙方案与秦彻既有设定冲突，要求移除统一方案并改为角色专属设计。","individual paraphrase"
"R026","2026-06-29","12:49","early A-0731 concern","#恋与深空底线不该被娱乐化#","敏感な数字と実験設定の組合せを問題視。数字自体は本文に明示されず画像依存のため、最初の発見者とは断定しない。","质疑敏感数字与实验设定的组合；正文未直接写出数字且依赖配图，因此不认定为最初发现者。","image-dependent"
"R027","2026-06-29","13:10","external-facing concern","文化 | 监管","A-0731が主要フレームになる前に、中国文化・監管責任をめぐる外部向け問題化が現れる。","在A-0731成为核心框架之前，已出现从中国文化与监管责任角度向外部扩展问题的帖子。","individual paraphrase"
"R028","2026-06-29","13:21","A-0731 identification","A-0731","回収範囲で、個別ページ本文から直接確認できた早いA-0731明示投稿。絶対的な最初ではない。","本次恢复范围内较早可从单帖正文直接确认A-0731的记录；不是全微博绝对最早的证明。","direct page / earliest recovered class"
"R029","2026-06-29","13:24","historical framing","历史创伤 | 民族","A-0731を民族的・歴史的な傷のフレームで意味づけ、娯楽化批判へ接続。","把A-0731赋予民族/历史创伤框架，并连接到历史伤痛被娱乐化的批评。","individual paraphrase"
"R030","2026-06-29","13:34","external mobilization","媒体 | 公共机构","主要メディア・公的機関へ確認や厳査を求め、ファンダム内部の議論を外部動員へ変換。","向媒体与公共机构要求核查/严查，把圈内争议转向外部动员。","individual paraphrase"
"R031","2026-06-29","14:02","frame integration","女性安全 + A-0731","女性安全をめぐる既存争点とA-0731を一つの企業価値観・責任問題として統合。","把此前的女性安全争议与A-0731整合为同一个企业价值观与责任问题。","individual paraphrase"
"R032","2026-06-29","14:27","external entertainment context","#恋与深空[超话]#","試薬記録という文脈と731の組合せ自体が問題だという短い型へ簡略化され、外部アカウントにも広がる。","议题被简化为试药记录与731这一组合本身有问题，并扩散到圈外账号。","individual paraphrase"
"R033","2026-06-29","14:49","731 tag circulation","#恋与深空 731#","731を明示した専用話題タグで関連動画・説明が共有され、争点名が固定化。","带有明确731的专门话题标签用于分享相关视频/说明，争议名称逐渐固定。","individual paraphrase"
"R034","2026-06-29","14:53","external mobilization","#恋与深空 731#","メディア・公的機関への働きかけを促すテンプレ型投稿が増え、具体的要求を伴う増幅段階へ。","出现模板化的媒体/公共机构动员帖，传播进入带有具体外部诉求的放大阶段。","individual paraphrase"
"R035","2026-06-29","15:02","game-blogger context","#恋与深空 731# | #恋与深空#","単なるミスではなく運営が意図的に限界を試しているという解釈が拡散。ただし意図性は投稿者推論。","不是普通失误而是在故意测试底线的解释被传播；但故意仍只是发帖者推论。","intent not verified"
"R036","2026-06-29","15:08","game-blogger context","#恋与深空失控领地# | #恋与深空#","前日の女性安全系争点と当日のA-0731を連続する運営問題として接続。","把前一天的女性安全争议与当天A-0731连接为连续的运营问题。","individual paraphrase"
"R037","2026-06-29","15:09","relay chain","RT chain","複数回の中継を経る中で、元の追加疑惑に後段の投稿者がメディア動員や歴史フレームを付加。発信・中継・外部動員が別人であることを示す。","多次转发中，后续转发者在原有疑点上加入媒体动员与历史框架，显示提出疑点、中继、外部动员并非同一人完成。","relay chain reconstructed"
"R038","2026-06-29","15:23","integrated criticism","历史创伤 + 女性恐惧","歴史的な傷と女性の恐怖・安全を二本柱として、一つの企業価値観批判へ統合。","把历史创伤与女性恐惧/安全作为两条主线，整合为企业价值观批评。","individual paraphrase"
"R039","2026-06-29","15:30","mass slogan phase","#恋与深空 731#","サービス終了・会社倒産を求める短いスローガン型投稿が同時刻に複数出現。","同一时间出现多条要求关服/公司倒闭式短口号。","one of multiple same-minute posts"
"R040","2026-06-29","15:51","internal criticism","internal criticism","民族的・歴史的な傷を飯圈対立の武器として使うことを批判する内部ブレーキ。","批评把民族/历史创伤当作饭圈对立武器的内部制动。","individual paraphrase"
"R041","2026-06-29","16:41","anti-company community crossover","#恨与浅地# + A-0731","直接コミュニティ参加を確認できるアカウントがA-0731へ接続。今回の回収では13時台の形成より後。","可直接确认参与恨与浅地社群的账号开始连接A-0731；本次恢复中晚于13点左右的框架形成。","membership evidence kept private"
"R042","2026-06-29","19:50","official statement","A-0731","公式がA-0731を架空世界の無作為な仮番号と説明し、変更を表明。関連表現の修正・流布疑惑への否定も掲載。","官方称A-0731为虚构世界中的随机占位编号并宣布修改，同时说明调整其他争议内容并否认若干流传说法。","official statement"
"R043","2026-06-30","20:00","official decision","cancellation","公式が敖尹の実装・開発取消と今後新男主を追加しない方針を発表。","官方宣布取消敖尹上线与开发，并表示今后不再新增男主。","official statement"
"R044","2026-06-30","20:08","Valko supportive / cancellation criticism","取消反対","取消そのものに反対する投稿。","明确反对取消的帖子。","individual paraphrase"
"R045","2026-06-30","20:12","continued opposition","A-0731 | 女性安全 | 不回游","第6男主だけの問題ではないとして、取消後も戻らず維権を続ける立場。","认为问题不只是第六男主，取消后仍不回游并继续维权。","individual paraphrase"
"R046","2026-06-30","20:13","Sylus context","秦彻 | 围裙 | OOC","取消直後に秦彻固有のOOC・衣装問題へ要求が戻る。","取消后诉求立即回到秦彻自身的OOC与服装问题。","individual paraphrase"
"R047","2026-06-30","20:16","Caleb context","夏以昼 | 主线 | 专属资源","夏以昼の主線、低レアカード、専属要素など固有の未解決事項を再要求。","重新提出夏以昼主线、低星卡与专属内容等角色自身未解决诉求。","individual paraphrase"
"R048","2026-06-30","20:17","Valko supportive / cancellation criticism","取消反対","別の投稿も取消を批判し、取消反対が単発ではないことを示す。","另一条帖子同样批评取消，说明反对取消并非单一孤例。","individual paraphrase"
"R049","2026-06-30","20:21","Zayne context","黎深 | 主线 | 设定","黎深側が主線・設定・課金関連など固有要求へ戻る。","黎深社群重新聚焦主线、设定与付费相关的角色自身诉求。","individual paraphrase"
"R050","2026-06-30","20:21","Valko restoration demand","正常上线","敖尹を正常に実装することを明示的に要求。","明确要求敖尹正常上线。","individual paraphrase"
"R051","2026-06-30","21:03","Valko supportive / loss","loss","敖尹を目的にゲームを始め課金したという投稿が取消への喪失を表明。ただし明示的復帰要求とは区別。","因敖尹入坑并付费的玩家表达取消后的失落；但不自动编码为恢复诉求。","grief separated from demand"
"R052","2026-06-30","22:47","continued rights claims","unresolved issues","A-0731、OOC、女性安全、制作リソース等を列挙し、取消=全面解決を否定。","列举A-0731、OOC、女性安全、产能等问题，否定取消等于全部问题已解决。","individual paraphrase"
"R053","2026-06-30","22:52","strategic assessment","第一阶段成功","取消を第一段階の成功と評価し、継続的な要求を示唆。","把取消评价为第一阶段成功，暗示后续诉求仍将继续。","individual paraphrase"
